StationName,City,Latitude,Longitude
Ayr bus station,Ayr,55.4622030062187,-4.63408802039818
Buchanan bus station,Glasgow,55.8655159664389,-4.25143813805202
Dunfermline bus station,Dunfermline,56.0721134659704,-3.46203757478263
East Kilbride bus station,East Kilbride,55.7605755857874,-4.17318417853979
Edinburgh bus station,Edinburgh,55.9555861534289,-3.19074263439024
Elgin bus station,Elgin,57.6495875963766,-3.31561012691212
Glenrothes bus station,Glenrothes,56.1956381363489,-3.16905956879436
Greenock bus station,Greenock,55.9492231032592,-4.76238024410031
Hamilton bus station,Hamilton,55.7732791543222,-4.03936461530733
Inverness bus station,Inverness,57.4810192225755,-4.22450508651438
Kilmarnock bus station,Kilmarnock,55.6106619567728,-4.49366992137103
Kirkcaldy bus station,Kirkcaldy,56.1099931185586,-3.15930781157096
Leven bus station,Leven,56.1933046334205,-2.99869895574741
Partick station,Glasgow,55.8699645950006,-4.30832962457327
Perth bus station,Perth,56.3933517126621,-3.43616346924154
Dundee bus station,Dundee,56.4633404558145,-2.9652073613339
Silverburn bus station,Glasgow,55.8226336969958,-4.34372024415879
St Andrews bus station,St Andrews,56.3407602438529,-2.80175148642973
Stirling bus station,Stirling,56.118032598563,-3.93303544225328
Viking bus station,Lerwick,60.157258905716,-1.14609166872973
Aberdeen bus station,Aberdeen,57.1444165717408,-2.09671872211516
